French,English
seulement,only
police,police
aide,help
genre,kind
mois,month
frère,brother
laisser,let
car,because
chaque,each
parlé,speak
arrivé,come
devrait,should
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
savais,knew
attention,Warning
voici,here is
pourrais,could
type,type
donné,given
endroit,place
dont,whose
perdu,lost
main,hand
première,first
sois,be
matin,morning
venu,came
vers,towards
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
eau,water
nouvelle,new
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
bureau,office
